Codice Articolo Fornitore2222;Unita di Misura;Prezzo;Data Inizio Validita;Sconto 1;Sconto 2;Sconto 3;Sconto 4;Sconto 5;Sconto 6
75667;CZ;22,8;10/06/23;;;;;;
75668;CZ;21,3;10/06/23;;;;;;
75669;CZ;22,5;10/06/23;;;;;;
51937;Pz;2,61;10/06/23;;;;;;
51938;Pz;3,93;10/06/23;;;;;;
51939;Pz;0,8;10/06/23;;;;;;
51941;Pz;6,19;10/06/23;;;;;;
51942;Pz;11,2;10/06/23;;;;;;
81478;Pz;30,1;10/06/23;;;;;;
81479;Pz;65,9;10/06/23;;;;;;
85651;CZ;29,8;10/06/23;;;;;;
85652;CZ;34,3;10/06/23;;;;;;
85653;CZ;37,3;10/06/23;;;;;;
85654;CZ;44,3;10/06/23;;;;;;
85655;Pz;1,37;10/06/23;;;;;;
85656;CZ;15;10/06/23;;;;;;
85657;CZ;39,6;10/06/23;;;;;;
85658;CZ;42,8;10/06/23;;;;;;
85659;CZ;49,6;10/06/23;;;;;;
85660;CZ;51,6;10/06/23;;;;;;
85661;Pz;1,5;10/06/23;;;;;;
85662;CZ;21,6;10/06/23;;;;;;
2674;Pz;5,11;10/06/23;;;;;;
2675;CZ;2,51;10/06/23;;;;;;
43963;CZ;2,08;10/06/23;;;;;;
43964;Pz;5,28;10/06/23;;;;;;
43965;Pz;2,47;10/06/23;;;;;;
43966;Pz;4,94;10/06/23;;;;;;
43967;Pz;1,55;10/06/23;;;;;;
79149;Pz;2,58;10/06/23;;;;;;
88735;Pz;11,1;10/06/23;;;;;;
15958;Pz;1,73;10/06/23;;;;;;
15960;Pz;2,26;10/06/23;;;;;;
15972;Pz;1,65;10/06/23;;;;;;
15979;Pz;3,51;10/06/23;;;;;;
15988;Pz;1,4;10/06/23;;;;;;
16026;Pz;1,84;10/06/23;;;;;;
2443;Pz;1,99;10/06/23;;;;;;
2444;Pz;0,94;10/06/23;;;;;;
19500;Pz;2,35;10/06/23;;;;;;
81462;Pz;1,45;10/06/23;;;;;;
81463;Pz;11,04;10/06/23;;;;;;
74010;Pz;15,5;10/06/23;;;;;;
9826;Pz;11,6;10/06/23;;;;;;
9827;Pz;11,6;10/06/23;;;;;;
9828;Pz;11,6;10/06/23;;;;;;
19260;Pz;54,8;10/06/23;;;;;;
19261;Pz;54,8;10/06/23;;;;;;
19262;Pz;22,9;10/06/23;;;;;;
19264;Pz;50,3;10/06/23;;;;;;
19265;Pz;17,8;10/06/23;;;;;;
19267;Pz;23;10/06/23;;;;;;
19268;Pz;23;10/06/23;;;;;;
19269;Pz;23;10/06/23;;;;;;
20978;Pz;23,7;10/06/23;;;;;;
21330;Pz;23;10/06/23;;;;;;
21474;Pz;11,6;10/06/23;;;;;;
21887;Pz;11,6;10/06/23;;;;;;
21888;Pz;11,6;10/06/23;;;;;;
21889;Pz;23;10/06/23;;;;;;
21890;Pz;23;10/06/23;;;;;;
21893;Pz;22,2;10/06/23;;;;;;
23920;Pz;23,7;10/06/23;;;;;;
51915;Pz;50,3;10/06/23;;;;;;
59095;Pz;11,2;10/06/23;;;;;;
70121;Pz;11,4;10/06/23;;;;;;
70122;Pz;6,58;10/06/23;;;;;;
57638;Pz;2,1;10/06/23;;;;;;
62235;Pz;3,53;10/06/23;;;;;;
74591;Pz;2,81;10/06/23;;;;;;
74592;Pz;2,81;10/06/23;;;;;;
90403;Pz;6,52;10/06/23;;;;;;
94643;Pz;2,34;10/06/23;;;;;;
57557;Pz;7,71;10/06/23;;;;;;
74594;Pz;3,53;10/06/23;;;;;;
3425;Pz;14,5;10/06/23;;;;;;
59880;Pz;9,79;10/06/23;;;;;;
79348;Pz;2,74;10/06/23;;;;;;
63116;Pz;14,5;10/06/23;;;;;;
1926;Pz;9,42;10/06/23;;;;;;
64502;Pz;6,69;10/06/23;;;;;;
79119;Pz;3,85;10/06/23;;;;;;
80283;Pz;8,08;10/06/23;;;;;;
80284;Pz;9,62;10/06/23;;;;;;
91104;Pz;4,84;10/06/23;;;;;;
97513;Pz;5,81;10/06/23;;;;;;
97514;Pz;9,07;10/06/23;;;;;;
3026;Pz;14,9;10/06/23;;;;;;
8138;Pz;10,1;10/06/23;;;;;;
50254;Pz;3,89;10/06/23;;;;;;
62606;Pz;23,9;10/06/23;;;;;;
63242;Pz;11,9;10/06/23;;;;;;
63243;Pz;11,9;10/06/23;;;;;;
73201;Pz;5,08;10/06/23;;;;;;
75512;Pz;10,5;10/06/23;;;;;;
75513;Pz;20,9;10/06/23;;;;;;
77408;Pz;17,9;10/06/23;;;;;;
87789;Pz;10,1;10/06/23;;;;;;
97674;Pz;23,9;10/06/23;;;;;;
63112;Pz;64,2;10/06/23;;;;;;
69744;Pz;81,7;10/06/23;;;;;;
69839;Pz;7,23;10/06/23;;;;;;
91162;Pz;3,23;10/06/23;;;;;;
53476;Pz;267,3;10/06/23;;;;;;
58450;Pz;85,9;10/06/23;;;;;;
62821;Pz;49,5;10/06/23;;;;;;
10643;Pz;10,7;10/06/23;;;;;;
10644;Pz;10,7;10/06/23;;;;;;
62820;Pz;44,3;10/06/23;;;;;;
62822;Pz;4,53;10/06/23;;;;;;
62823;Pz;4,53;10/06/23;;;;;;
62824;Pz;4,26;10/06/23;;;;;;
62825;Pz;4,26;10/06/23;;;;;;
59144;Pz;12,5;10/06/23;;;;;;
13738;Pz;6,51;10/06/23;;;;;;
13740;Pz;8,83;10/06/23;;;;;;
23534;Pz;7,9;10/06/23;;;;;;
56970;Pz;2,77;10/06/23;;;;;;
4568;Pz;11,9;10/06/23;;;;;;
57614;Pz;7,12;10/06/23;;;;;;
7834;Pz;54,8;10/06/23;;;;;;
55612;CZ;4,75;10/06/23;;;;;;
83047;Pz;0,58;10/06/23;;;;;;
83048;Pz;0,58;10/06/23;;;;;;
83049;Pz;0,58;10/06/23;;;;;;
83050;Pz;0,58;10/06/23;;;;;;
83051;Pz;0,58;10/06/23;;;;;;
83052;Pz;0,58;10/06/23;;;;;;
83053;Pz;0,58;10/06/23;;;;;;
83054;Pz;0,58;10/06/23;;;;;;
83055;Pz;0,58;10/06/23;;;;;;
83056;Pz;0,58;10/06/23;;;;;;
83060;Pz;0,58;10/06/23;;;;;;
83061;Pz;0,58;10/06/23;;;;;;
83062;Pz;0,58;10/06/23;;;;;;
83063;Pz;0,58;10/06/23;;;;;;
83064;Pz;0,58;10/06/23;;;;;;
83065;Pz;0,58;10/06/23;;;;;;
83066;Pz;0,58;10/06/23;;;;;;
83067;Pz;0,58;10/06/23;;;;;;
83068;Pz;0,58;10/06/23;;;;;;
83069;Pz;0,58;10/06/23;;;;;;
83080;Pz;0,58;10/06/23;;;;;;
83081;Pz;0,58;10/06/23;;;;;;
83082;Pz;0,58;10/06/23;;;;;;
83083;Pz;0,58;10/06/23;;;;;;
83084;Pz;0,58;10/06/23;;;;;;
83085;Pz;0,58;10/06/23;;;;;;
83086;Pz;0,58;10/06/23;;;;;;
83087;Pz;0,58;10/06/23;;;;;;
83088;Pz;0,58;10/06/23;;;;;;
83089;Pz;0,58;10/06/23;;;;;;
83090;Pz;0,58;10/06/23;;;;;;
83091;Pz;0,58;10/06/23;;;;;;
83092;Pz;0,58;10/06/23;;;;;;
83094;Pz;0,58;10/06/23;;;;;;
83095;Pz;0,58;10/06/23;;;;;;
83096;Pz;0,58;10/06/23;;;;;;
86420;CZ;6,77;10/06/23;;;;;;
86421;CZ;6,77;10/06/23;;;;;;
86422;CZ;6,77;10/06/23;;;;;;
86423;CZ;6,77;10/06/23;;;;;;
86424;CZ;6,77;10/06/23;;;;;;
86425;CZ;6,77;10/06/23;;;;;;
86426;CZ;6,77;10/06/23;;;;;;
86427;CZ;6,77;10/06/23;;;;;;
86428;CZ;6,77;10/06/23;;;;;;
86429;CZ;6,77;10/06/23;;;;;;
86430;CZ;6,77;10/06/23;;;;;;
86431;CZ;6,77;10/06/23;;;;;;
86432;CZ;6,77;10/06/23;;;;;;
86433;CZ;6,77;10/06/23;;;;;;
86434;CZ;6,77;10/06/23;;;;;;
86435;CZ;6,77;10/06/23;;;;;;
86436;CZ;6,77;10/06/23;;;;;;
86437;CZ;6,77;10/06/23;;;;;;
86438;CZ;6,77;10/06/23;;;;;;
86439;CZ;6,77;10/06/23;;;;;;
86440;CZ;6,77;10/06/23;;;;;;
86455;CZ;6,77;10/06/23;;;;;;
86456;CZ;6,77;10/06/23;;;;;;
86457;CZ;6,77;10/06/23;;;;;;
86458;CZ;6,77;10/06/23;;;;;;
86459;CZ;6,77;10/06/23;;;;;;
86460;CZ;6,77;10/06/23;;;;;;
86461;CZ;6,77;10/06/23;;;;;;
86462;CZ;6,77;10/06/23;;;;;;
86463;CZ;6,77;10/06/23;;;;;;
86464;CZ;6,77;10/06/23;;;;;;
86465;CZ;6,77;10/06/23;;;;;;
86466;CZ;6,77;10/06/23;;;;;;
86471;CZ;6,77;10/06/23;;;;;;
86472;CZ;6,77;10/06/23;;;;;;
86473;CZ;6,77;10/06/23;;;;;;
82684;Pz;3,31;10/06/23;;;;;;
82685;Pz;3,31;10/06/23;;;;;;
82686;Pz;3,53;10/06/23;;;;;;
82687;Pz;3,53;10/06/23;;;;;;
82688;Pz;5,05;10/06/23;;;;;;
82689;Pz;3,8;10/06/23;;;;;;
82690;Pz;4;10/06/23;;;;;;
82691;Pz;5,52;10/06/23;;;;;;
82692;Pz;3,23;10/06/23;;;;;;
82693;Pz;3,48;10/06/23;;;;;;
82694;Pz;5,08;10/06/23;;;;;;
82695;Pz;3,24;10/06/23;;;;;;
82696;Pz;3,49;10/06/23;;;;;;
82709;Pz;5,07;10/06/23;;;;;;
82741;Pz;4,05;10/06/23;;;;;;
82742;Pz;4,29;10/06/23;;;;;;
82815;Pz;6,01;10/06/23;;;;;;
82816;Pz;4,05;10/06/23;;;;;;
82817;Pz;4,31;10/06/23;;;;;;
82818;Pz;6,03;10/06/23;;;;;;
82819;Pz;4,23;10/06/23;;;;;;
82820;Pz;4,5;10/06/23;;;;;;
82821;Pz;6,11;10/06/23;;;;;;
82822;Pz;7,73;10/06/23;;;;;;
82823;Pz;7,61;10/06/23;;;;;;
82824;Pz;9,87;10/06/23;;;;;;
82825;Pz;4,99;10/06/23;;;;;;
82826;Pz;4,7;10/06/23;;;;;;
82827;Pz;4,99;10/06/23;;;;;;
82828;Pz;5,27;10/06/23;;;;;;
82829;Pz;4,98;10/06/23;;;;;;
82830;Pz;5,27;10/06/23;;;;;;
82831;Pz;7,07;10/06/23;;;;;;
82832;Pz;6,79;10/06/23;;;;;;
82833;Pz;7,07;10/06/23;;;;;;
82834;Pz;5,86;10/06/23;;;;;;
82835;Pz;5,05;10/06/23;;;;;;
82836;Pz;5,86;10/06/23;;;;;;
82837;Pz;6,15;10/06/23;;;;;;
82838;Pz;5,33;10/06/23;;;;;;
82839;Pz;6,15;10/06/23;;;;;;
82840;Pz;7,96;10/06/23;;;;;;
82841;Pz;6,97;10/06/23;;;;;;
82842;Pz;7,96;10/06/23;;;;;;
82843;Pz;5,7;10/06/23;;;;;;
82844;Pz;4,81;10/06/23;;;;;;
82860;Pz;5,59;10/06/23;;;;;;
82861;Pz;5,84;10/06/23;;;;;;
82864;Pz;5,04;10/06/23;;;;;;
82875;Pz;5,84;10/06/23;;;;;;
82876;Pz;7,64;10/06/23;;;;;;
82877;Pz;6,68;10/06/23;;;;;;
82878;Pz;7,64;10/06/23;;;;;;
82879;Pz;7,34;10/06/23;;;;;;
82880;Pz;7,34;10/06/23;;;;;;
82881;Pz;7,86;10/06/23;;;;;;
82882;Pz;7,34;10/06/23;;;;;;
82883;Pz;7,34;10/06/23;;;;;;
82884;Pz;7,8;10/06/23;;;;;;
82885;Pz;9,31;10/06/23;;;;;;
82904;Pz;9,31;10/06/23;;;;;;
82913;Pz;9,8;10/06/23;;;;;;
82916;Pz;0,321;10/06/23;;;;;;
82918;Pz;0,33;10/06/23;;;;;;
82921;Pz;0,86;10/06/23;;;;;;
82947;Pz;0,396;10/06/23;;;;;;
82963;Pz;0,6;10/06/23;;;;;;
83034;Pz;1,07;10/06/23;;;;;;
83035;Pz;0,59;10/06/23;;;;;;
83036;Pz;0,75;10/06/23;;;;;;
83037;Pz;1,26;10/06/23;;;;;;
83038;Pz;39,6;10/06/23;;;;;;
83040;Pz;39,6;10/06/23;;;;;;
83041;Pz;39,6;10/06/23;;;;;;
83042;Pz;39,6;10/06/23;;;;;;
83043;Pz;39,6;10/06/23;;;;;;
83044;Pz;4,63;10/06/23;;;;;;
83045;Pz;1,01;10/06/23;;;;;;
83046;Pz;1,01;10/06/23;;;;;;
86068;CZ;6,63;10/06/23;;;;;;
86069;CZ;6,63;10/06/23;;;;;;
86080;CZ;5,59;10/06/23;;;;;;
86081;CZ;5,59;10/06/23;;;;;;
86082;CZ;5,59;10/06/23;;;;;;
86083;CZ;6,62;10/06/23;;;;;;
86084;CZ;7,2;10/06/23;;;;;;
86087;CZ;7,2;10/06/23;;;;;;
86088;CZ;7,2;10/06/23;;;;;;
86089;CZ;6,12;10/06/23;;;;;;
86090;CZ;6,12;10/06/23;;;;;;
86091;CZ;6,12;10/06/23;;;;;;
86092;CZ;7,2;10/06/23;;;;;;
86093;CZ;6,29;10/06/23;;;;;;
86094;CZ;6,29;10/06/23;;;;;;
86095;CZ;7,32;10/06/23;;;;;;
86096;CZ;9,28;10/06/23;;;;;;
86097;CZ;9,55;10/06/23;;;;;;
86098;CZ;7,2;10/06/23;;;;;;
86099;CZ;7,32;10/06/23;;;;;;
86100;CZ;10,6;10/06/23;;;;;;
37054;CZ;2,38;10/06/23;;;;;;
10807;Pz;47,6;10/06/23;;;;;;
10808;Pz;63,4;10/06/23;;;;;;
77235;Pz;5,14;10/06/23;;;;;;
77236;Pz;4,58;10/06/23;;;;;;
77237;Pz;3,81;10/06/23;;;;;;
31492;Pz;4,6;10/06/23;;;;;;
31493;Pz;4,02;10/06/23;;;;;;
34836;Pz;3,32;10/06/23;;;;;;
99498;Pz;1,33;10/06/23;;;;;;
90633;Pz;4,26;10/06/23;;;;;;
57333;Pz;20,6;10/06/23;;;;;;
59776;Pz;2,32;10/06/23;;;;;;
51762;Pz;5,49;10/06/23;;;;;;
51763;Pz;8,31;10/06/23;;;;;;
53632;Pz;17,3;10/06/23;;;;;;
30706;Pz;4,48;10/06/23;;;;;;
34825;Pz;1,94;10/06/23;;;;;;
77234;Pz;2,63;10/06/23;;;;;;
72876;Pz;20;10/06/23;;;;;;
72877;Pz;20;10/06/23;;;;;;
72878;Pz;27;10/06/23;;;;;;
72879;Pz;154,9;10/06/23;;;;;;
2931;Pz;11;10/06/23;;;;;;
93881;Pz;27,4;10/06/23;;;;;;
74532;Pz;202,4;10/06/23;;;;;;
68671;Pz;8,22;10/06/23;;;;;;
68672;Pz;3,14;10/06/23;;;;;;
80277;Pz;2,66;10/06/23;;;;;;
80278;Pz;2,85;10/06/23;;;;;;
12374;CZ;9,46;10/06/23;;;;;;
12379;Pz;3,39;10/06/23;;;;;;
35210;CZ;13,6;10/06/23;;;;;;
35211;CZ;12;10/06/23;;;;;;
35212;CZ;7,83;10/06/23;;;;;;
35213;CZ;7,39;10/06/23;;;;;;
35214;CZ;6,99;10/06/23;;;;;;
35215;CZ;6,37;10/06/23;;;;;;
35216;CZ;5,7;10/06/23;;;;;;
53099;CZ;2,34;10/06/23;;;;;;
53100;CZ;2,46;10/06/23;;;;;;
53101;CZ;2;10/06/23;;;;;;
53102;CZ;2,13;10/06/23;;;;;;
53103;CZ;2,16;10/06/23;;;;;;
53104;CZ;2,68;10/06/23;;;;;;
53105;CZ;2,58;10/06/23;;;;;;
53106;CZ;3,17;10/06/23;;;;;;
88756;Pz;29,1;10/06/23;;;;;;
53107;CZ;3,85;10/06/23;;;;;;
53108;CZ;5,97;10/06/23;;;;;;
53109;CZ;6,49;10/06/23;;;;;;
57289;Pz;0,72;10/06/23;;;;;;
57290;Pz;1,25;10/06/23;;;;;;
57291;Pz;1,38;10/06/23;;;;;;
30969;Pz;0,07;10/06/23;;;;;;
30970;Pz;0,0111;10/06/23;;;;;;
30971;Pz;0,0126;10/06/23;;;;;;
30972;Pz;0,0176;10/06/23;;;;;;
30973;Pz;0,0264;10/06/23;;;;;;
30974;Pz;0,0328;10/06/23;;;;;;
30975;Pz;0,0448;10/06/23;;;;;;
30976;Pz;0,082;10/06/23;;;;;;
54858;CZ;2,24;10/06/23;;;;;;
54859;CZ;1,22;10/06/23;;;;;;
54860;CZ;1,25;10/06/23;;;;;;
54861;CZ;1,35;10/06/23;;;;;;
54862;CZ;1,42;10/06/23;;;;;;
54863;CZ;1,58;10/06/23;;;;;;
54864;CZ;1,54;10/06/23;;;;;;
54865;CZ;2,05;10/06/23;;;;;;
54866;CZ;1,88;10/06/23;;;;;;
54867;CZ;1,94;10/06/23;;;;;;
54868;CZ;2,06;10/06/23;;;;;;
54869;CZ;2,29;10/06/23;;;;;;
54870;CZ;1,95;10/06/23;;;;;;
54871;CZ;2,23;10/06/23;;;;;;
54872;CZ;2,39;10/06/23;;;;;;
15667;Pz;5,86;10/06/23;;;;;;
15668;Pz;6,28;10/06/23;;;;;;
15669;Pz;7,07;10/06/23;;;;;;
15671;Pz;8,63;10/06/23;;;;;;
15672;Pz;9,56;10/06/23;;;;;;
15673;Pz;12,3;10/06/23;;;;;;
15674;Pz;13,9;10/06/23;;;;;;
15675;Pz;18,4;10/06/23;;;;;;
15676;Pz;20,3;10/06/23;;;;;;
15677;Pz;25,1;10/06/23;;;;;;
15678;Pz;33,7;10/06/23;;;;;;
15679;Pz;48,3;10/06/23;;;;;;
15680;Pz;58,4;10/06/23;;;;;;
61668;Pz;2,86;10/06/23;;;;;;
73907;Pz;4,29;10/06/23;;;;;;
68385;Pz;8,87;10/06/23;;;;;;
68386;CZ;23;10/06/23;;;;;;
68387;Pz;8,86;10/06/23;;;;;;
68388;CZ;24,5;10/06/23;;;;;;
68389;CZ;27,6;10/06/23;;;;;;
68390;CZ;30,3;10/06/23;;;;;;
68391;CZ;34,9;10/06/23;;;;;;
70728;CZ;25,3;10/06/23;;;;;;
70729;CZ;27,7;10/06/23;;;;;;
70730;CZ;30,4;10/06/23;;;;;;
70731;CZ;34,1;10/06/23;;;;;;
37826;Pz;5,35;10/06/23;;;;;;
37827;Pz;25;10/06/23;;;;;;
70146;Pz;4,22;10/06/23;;;;;;
70147;Pz;19,4;10/06/23;;;;;;
70148;Pz;4,35;10/06/23;;;;;;
70149;Pz;20;10/06/23;;;;;;
89892;Pz;3,89;10/06/23;;;;;;
81466;Pz;5,89;10/06/23;;;;;;
89750;Pz;5,89;10/06/23;;;;;;
6736;Pz;1,13;10/06/23;;;;;;
78584;Pz;13,2;10/06/23;;;;;;
94417;Pz;16;10/06/23;;;;;;
515;Pz;3,02;10/06/23;;;;;;
94416;Pz;18,9;10/06/23;;;;;;
69510;Pz;2,39;10/06/23;;;;;;
3345;Pz;1,99;10/06/23;;;;;;
44804;Pz;15,3;10/06/23;;;;;;
44805;Pz;4,5;10/06/23;;;;;;
44806;Pz;6,09;10/06/23;;;;;;
44807;Pz;4,89;10/06/23;;;;;;
44808;Pz;3,62;10/06/23;;;;;;
44809;Pz;4,16;10/06/23;;;;;;
44810;Pz;4,67;10/06/23;;;;;;
44811;Pz;2,35;10/06/23;;;;;;
44812;Pz;3,58;10/06/23;;;;;;
44817;Pz;13,8;10/06/23;;;;;;
44818;Pz;8,61;10/06/23;;;;;;
44819;Pz;11,2;10/06/23;;;;;;
44820;Pz;5,43;10/06/23;;;;;;
44821;Pz;8,26;10/06/23;;;;;;
44823;Pz;4,23;10/06/23;;;;;;
44824;Pz;21,7;10/06/23;;;;;;
47587;Pz;8,11;10/06/23;;;;;;
51675;Pz;3,69;10/06/23;;;;;;
60458;Pz;2,52;10/06/23;;;;;;
60459;Pz;1,57;10/06/23;;;;;;
62256;Pz;7,79;10/06/23;;;;;;
63881;Pz;4,33;10/06/23;;;;;;
69494;Pz;6,81;10/06/23;;;;;;
69495;Pz;9,58;10/06/23;;;;;;
69496;Pz;6,89;10/06/23;;;;;;
69497;Pz;2,86;10/06/23;;;;;;
69498;Pz;2,72;10/06/23;;;;;;
69499;Pz;3,24;10/06/23;;;;;;
69500;Pz;2,11;10/06/23;;;;;;
69501;Pz;1,88;10/06/23;;;;;;
69502;Pz;1,97;10/06/23;;;;;;
69503;Pz;1,05;10/06/23;;;;;;
69504;Pz;1,55;10/06/23;;;;;;
69505;Pz;2,49;10/06/23;;;;;;
69506;Pz;5,25;10/06/23;;;;;;
69507;Pz;1,78;10/06/23;;;;;;
69508;CZ;2,16;10/06/23;;;;;;
69509;CZ;3,52;10/06/23;;;;;;
69511;Pz;9,05;10/06/23;;;;;;
69512;CZ;2,4;10/06/23;;;;;;
69513;CZ;1,75;10/06/23;;;;;;
70066;Pz;1,85;10/06/23;;;;;;
70067;Pz;1,89;10/06/23;;;;;;
70068;CZ;2,53;10/06/23;;;;;;
70069;Pz;1,3;10/06/23;;;;;;
70070;Pz;1,11;10/06/23;;;;;;
70071;Pz;5,15;10/06/23;;;;;;
70072;Pz;1,42;10/06/23;;;;;;
70073;Pz;0,97;10/06/23;;;;;;
71550;Pz;1,88;10/06/23;;;;;;
71551;Pz;11,1;10/06/23;;;;;;
71617;Pz;62,3;10/06/23;;;;;;
71618;CZ;20,9;10/06/23;;;;;;
73724;Pz;2,94;10/06/23;;;;;;
75384;Pz;3,93;10/06/23;;;;;;
76275;Pz;3,67;10/06/23;;;;;;
76276;Pz;3,36;10/06/23;;;;;;
76277;Pz;3,42;10/06/23;;;;;;
76764;Pz;6,54;10/06/23;;;;;;
76765;Pz;9,06;10/06/23;;;;;;
76766;Pz;3,63;10/06/23;;;;;;
77958;Pz;17,5;10/06/23;;;;;;
77959;Pz;2,75;10/06/23;;;;;;
77960;Pz;10,6;10/06/23;;;;;;
77961;Pz;12,1;10/06/23;;;;;;
77962;Pz;3,78;10/06/23;;;;;;
77963;Pz;4,94;10/06/23;;;;;;
80642;Pz;7,21;10/06/23;;;;;;
80780;CZ;1,32;10/06/23;;;;;;
80781;Pz;4,78;10/06/23;;;;;;
80782;Pz;0,89;10/06/23;;;;;;
80783;Pz;2,68;10/06/23;;;;;;
80784;Pz;2,58;10/06/23;;;;;;
80785;Pz;9,34;10/06/23;;;;;;
81333;CZ;3,08;10/06/23;;;;;;
81334;CZ;2,21;10/06/23;;;;;;
82301;CZ;22,9;10/06/23;;;;;;
87168;CZ;8,18;10/06/23;;;;;;
87169;Pz;1,64;10/06/23;;;;;;
87172;Pz;3,53;10/06/23;;;;;;
87173;Pz;4,31;10/06/23;;;;;;
87174;Pz;3,17;10/06/23;;;;;;
87987;CZ;20,5;10/06/23;;;;;;
88240;Pz;1,64;10/06/23;;;;;;
88241;Pz;1,42;10/06/23;;;;;;
88242;Pz;1,41;10/06/23;;;;;;
88243;Pz;1,41;10/06/23;;;;;;
88244;Pz;2,03;10/06/23;;;;;;
88245;Pz;1,41;10/06/23;;;;;;
88246;CZ;2,63;10/06/23;;;;;;
77388;Pz;33,2;10/06/23;;;;;;
77389;Pz;34,5;10/06/23;;;;;;
45547;Pz;5,07;10/06/23;;;;;;
45548;Pz;3,86;10/06/23;;;;;;
45549;Pz;3,86;10/06/23;;;;;;
45550;Pz;4,93;10/06/23;;;;;;
45551;Pz;4,26;10/06/23;;;;;;
45552;Pz;4,26;10/06/23;;;;;;
45553;Pz;6,74;10/06/23;;;;;;
45554;Pz;6,16;10/06/23;;;;;;
45555;Pz;6,16;10/06/23;;;;;;
45556;Pz;8,45;10/06/23;;;;;;
45557;Pz;7,48;10/06/23;;;;;;
45558;Pz;7,48;10/06/23;;;;;;
45559;Pz;7,28;10/06/23;;;;;;
45560;Pz;6,36;10/06/23;;;;;;
45561;Pz;6,36;10/06/23;;;;;;
81973;Pz;1,85;10/06/23;;;;;;
81974;Pz;2,02;10/06/23;;;;;;
81975;Pz;1,85;10/06/23;;;;;;
81976;Pz;2,44;10/06/23;;;;;;
81977;Pz;2,02;10/06/23;;;;;;
81978;Pz;2,11;10/06/23;;;;;;
81979;Pz;2,52;10/06/23;;;;;;
68905;Pz;5,48;10/06/23;;;;;;
60921;Pz;9,2;10/06/23;;;;;;
60922;Pz;10,6;10/06/23;;;;;;
60927;Pz;1,49;10/06/23;;;;;;
60928;Pz;1,49;10/06/23;;;;;;
60929;Pz;1,49;10/06/23;;;;;;
60930;Pz;1,39;10/06/23;;;;;;
63421;Pz;3,84;10/06/23;;;;;;
63422;Pz;4,12;10/06/23;;;;;;
63423;Pz;4,34;10/06/23;;;;;;
63424;Pz;5,03;10/06/23;;;;;;
63425;Pz;5,03;10/06/23;;;;;;
63426;Pz;3,51;10/06/23;;;;;;
63427;Pz;2,97;10/06/23;;;;;;
63428;Pz;2,97;10/06/23;;;;;;
63429;Pz;3,32;10/06/23;;;;;;
63430;Pz;7,98;10/06/23;;;;;;
63431;Pz;8,58;10/06/23;;;;;;
63433;Pz;1,44;10/06/23;;;;;;
63434;Pz;1,67;10/06/23;;;;;;
63435;Pz;1,84;10/06/23;;;;;;
63436;Pz;3,36;10/06/23;;;;;;
63437;Pz;11;10/06/23;;;;;;
63438;Pz;16,3;10/06/23;;;;;;
58715;Pz;0,95;10/06/23;;;;;;
58716;Pz;0,9;10/06/23;;;;;;
45106;Pz;3,01;10/06/23;;;;;;
45107;Pz;4,88;10/06/23;;;;;;
45108;Pz;6,87;10/06/23;;;;;;
84099;CZ;1,74;10/06/23;;;;;;
84100;Pz;1,5;10/06/23;;;;;;
78464;CZ;3,33;10/06/23;;;;;;
77526;Pz;2,91;10/06/23;;;;;;
77527;Pz;2,28;10/06/23;;;;;;
77528;CZ;2,46;10/06/23;;;;;;
77529;Pz;0,98;10/06/23;;;;;;
77530;CZ;2,77;10/06/23;;;;;;
77531;Pz;1,52;10/06/23;;;;;;
77532;Pz;2,1;10/06/23;;;;;;
97393;CZ;4,7;10/06/23;;;;;;
45109;Pz;5,7;10/06/23;;;;;;
88737;Pz;7,86;10/06/23;;;;;;
64728;CZ;1,55;10/06/23;;;;;;
15715;Pz;0,6;10/06/23;;;;;;
15716;Pz;0,64;10/06/23;;;;;;
15717;Pz;0,66;10/06/23;;;;;;
59932;Pz;0,82;10/06/23;;;;;;
90628;Pz;1,01;10/06/23;;;;;;
45064;CZ;1,88;10/06/23;;;;;;
46048;Pz;0,98;10/06/23;;;;;;
46049;Pz;5,81;10/06/23;;;;;;
46050;Pz;7,33;10/06/23;;;;;;
46047;Pz;1,24;10/06/23;;;;;;
70106;Pz;7;10/06/23;;;;;;
1082;Pz;1,59;10/06/23;;;;;;
45767;Pz;1,85;10/06/23;;;;;;
79154;Pz;4,52;10/06/23;;;;;;
3031;Pz;2,63;10/06/23;;;;;;
50251;Pz;2,1;10/06/23;;;;;;
90406;Pz;1,32;10/06/23;;;;;;
5898;Pz;7,49;10/06/23;;;;;;
78813;Pz;3,01;10/06/23;;;;;;
61574;Pz;3,49;10/06/23;;;;;;
79789;Pz;2,08;10/06/23;;;;;;
80464;Pz;67,4;10/06/23;;;;;;
80465;Pz;5,34;10/06/23;;;;;;
80498;Pz;8,54;10/06/23;;;;;;
79870;Pz;21,7;10/06/23;;;;;;
68906;Pz;7,23;10/06/23;;;;;;
1921;Pz;5,61;10/06/23;;;;;;
57562;Pz;2,87;10/06/23;;;;;;
5628;Pz;2,57;10/06/23;;;;;;
74565;Pz;4,73;10/06/23;;;;;;
74597;Pz;6,52;10/06/23;;;;;;
81414;Pz;3,53;10/06/23;;;;;;
90192;Pz;14,9;10/06/23;;;;;;
94316;Pz;4,73;10/06/23;;;;;;
14130;Pz;97,1;10/06/23;;;;;;
14134;Pz;2,84;10/06/23;;;;;;
